timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,best_alpha,num_clusters,pca_dim,best_top1_accuracy,best_top5_accuracy,improvement_over_baseline,improvement_over_fp32
20250818_125423,mobilenet_v2,DEFAULT,64,32,224,2,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.21,0.6,8,25,0.256,1.082,0.04600000000000001,-71.896
20250818_125423,mobilenet_v2,DEFAULT,64,32,224,2,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.21,0.6,8,50,0.238,1.084,0.027999999999999997,-71.914
20250818_125423,mobilenet_v2,DEFAULT,64,32,224,2,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.21,0.6,8,100,0.242,1.074,0.032,-71.91
20250818_125423,mobilenet_v2,DEFAULT,64,32,224,2,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.21,0.8,16,25,0.248,1.08,0.038000000000000006,-71.904
20250818_125423,mobilenet_v2,DEFAULT,64,32,224,2,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.21,0.8,16,50,0.228,1.066,0.018000000000000016,-71.924
20250818_125423,mobilenet_v2,DEFAULT,64,32,224,2,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.21,0.2,16,100,0.208,0.928,-0.0020000000000000018,-71.944
20250818_125423,mobilenet_v2,DEFAULT,64,32,224,2,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.21,0.4,32,25,0.234,1.026,0.02400000000000002,-71.918
20250818_125423,mobilenet_v2,DEFAULT,64,32,224,2,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.21,0.4,32,50,0.25,1.08,0.04000000000000001,-71.902
20250818_125423,mobilenet_v2,DEFAULT,64,32,224,2,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.21,0.4,32,100,0.236,1.044,0.025999999999999995,-71.916
20250818_125423,mobilenet_v2,DEFAULT,64,32,224,2,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.21,0.4,64,25,0.196,0.938,-0.013999999999999985,-71.956
20250818_125423,mobilenet_v2,DEFAULT,64,32,224,2,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.21,0.2,64,50,0.206,0.948,-0.0040000000000000036,-71.946
20250818_125423,mobilenet_v2,DEFAULT,64,32,224,2,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.21,0.2,64,100,0.23,0.966,0.020000000000000018,-71.922
